,doc,word,cluster
0,0,4209,1
1,1226,4209,1
2,2432,4209,1
3,3222,4209,1
4,0,4555,1
5,1,4555,4
6,2,4555,3
7,3,4555,4
8,6,4555,4
9,7,4555,2
10,8,4555,4
11,11,4555,1
12,15,4555,4
13,16,4555,3
14,20,4555,2
15,22,4555,2
16,23,4555,9
17,24,4555,1
18,33,4555,2
19,36,4555,3
20,39,4555,3
21,42,4555,2
22,44,4555,3
23,48,4555,2
24,49,4555,3
25,52,4555,2
26,53,4555,2
27,54,4555,3
28,58,4555,2
29,60,4555,1
30,61,4555,4
31,62,4555,2
32,70,4555,4
33,71,4555,10
34,72,4555,2
35,73,4555,1
36,75,4555,5
37,78,4555,1
38,79,4555,6
39,83,4555,1
40,88,4555,7
41,89,4555,3
42,90,4555,5
43,93,4555,4
44,95,4555,1
45,100,4555,2
46,104,4555,3
47,106,4555,1
48,110,4555,3
49,111,4555,2
50,114,4555,2
51,116,4555,1
52,118,4555,3
53,120,4555,1
54,122,4555,1
55,123,4555,2
56,124,4555,4
57,125,4555,1
58,127,4555,2
59,132,4555,2
60,133,4555,8
61,134,4555,4
62,139,4555,1
63,141,4555,2
64,144,4555,3
65,147,4555,1
66,149,4555,3
67,154,4555,5
68,164,4555,4
69,169,4555,5
70,171,4555,1
71,172,4555,1
72,173,4555,1
73,179,4555,3
74,181,4555,1
75,185,4555,1
76,186,4555,2
77,187,4555,1
78,188,4555,5
79,190,4555,2
80,191,4555,6
81,204,4555,2
82,206,4555,4
83,208,4555,6
84,219,4555,1
85,221,4555,1
86,239,4555,2
87,241,4555,1
88,243,4555,5
89,253,4555,3
90,254,4555,5
91,255,4555,4
92,259,4555,3
93,260,4555,3
94,264,4555,2
95,266,4555,1
96,268,4555,1
97,270,4555,3
98,271,4555,10
99,272,4555,2
100,275,4555,1
101,281,4555,1
102,290,4555,3
103,291,4555,4
104,292,4555,1
105,293,4555,2
106,295,4555,1
107,298,4555,1
108,299,4555,3
109,302,4555,1
110,303,4555,6
111,304,4555,1
112,305,4555,2
113,306,4555,1
114,307,4555,2
115,308,4555,5
116,309,4555,4
117,313,4555,1
118,314,4555,6
119,315,4555,3
120,317,4555,1
121,320,4555,1
122,321,4555,1
123,322,4555,1
124,324,4555,1
125,325,4555,4
126,326,4555,1
127,327,4555,5
128,328,4555,14
129,332,4555,2
130,333,4555,4
131,334,4555,5
132,335,4555,4
133,336,4555,3
134,338,4555,3
135,339,4555,2
136,341,4555,1
137,342,4555,2
138,343,4555,7
139,344,4555,3
140,345,4555,3
141,346,4555,3
142,347,4555,3
143,348,4555,4
144,351,4555,3
145,352,4555,1
146,354,4555,2
147,357,4555,4
148,362,4555,2
149,363,4555,5
150,364,4555,5
151,365,4555,6
152,372,4555,1
153,374,4555,4
154,375,4555,5
155,376,4555,3
156,377,4555,1
