,doc,word,cluster
0,0,28,1
1,2,28,1
2,3,28,1
3,4,28,1
4,6,28,1
5,7,28,1
6,9,28,1
7,10,28,5
8,12,28,1
9,13,28,1
10,15,28,1
11,16,28,1
12,17,28,4
13,18,28,1
14,19,28,1
15,20,28,1
16,21,28,1
17,24,28,3
18,25,28,1
19,27,28,1
20,28,28,1
21,30,28,1
22,31,28,1
23,32,28,1
24,33,28,1
25,34,28,1
26,35,28,1
27,36,28,3
28,38,28,3
29,39,28,1
30,40,28,3
31,41,28,1
32,42,28,1
33,44,28,1
34,45,28,1
35,46,28,1
36,47,28,1
37,48,28,2
38,49,28,1
39,51,28,1
40,52,28,1
41,55,28,1
42,56,28,2
43,60,28,1
44,62,28,1
45,63,28,1
46,64,28,4
47,65,28,1
48,69,28,1
49,71,28,1
50,72,28,1
51,73,28,1
52,74,28,5
53,75,28,1
54,78,28,1
55,79,28,1
56,80,28,4
57,81,28,1
58,83,28,2
59,84,28,1
60,88,28,1
61,90,28,3
62,91,28,1
63,92,28,1
64,94,28,2
65,95,28,2
66,99,28,1
67,100,28,1
68,101,28,1
69,102,28,1
70,103,28,1
71,104,28,1
72,105,28,1
73,106,28,1
74,108,28,1
75,110,28,1
76,112,28,3
77,114,28,1
78,115,28,1
79,116,28,1
80,117,28,1
81,118,28,1
82,119,28,13
83,121,28,1
84,122,28,2
85,123,28,1
86,126,28,1
87,127,28,1
88,129,28,1
89,130,28,1
90,131,28,1
91,133,28,1
92,135,28,1
93,136,28,1
94,137,28,1
95,138,28,1
96,139,28,1
97,140,28,1
98,141,28,1
99,142,28,1
100,144,28,1
101,145,28,2
102,146,28,1
103,149,28,1
104,150,28,1
105,152,28,1
106,153,28,1
107,159,28,1
108,160,28,13
109,166,28,6
110,167,28,1
111,169,28,1
112,171,28,1
113,172,28,1
114,174,28,1
115,175,28,4
116,176,28,1
117,177,28,1
118,178,28,1
119,179,28,4
120,180,28,1
121,181,28,1
122,182,28,1
123,183,28,1
124,185,28,1
125,187,28,1
126,189,28,1
127,191,28,11
128,194,28,1
129,196,28,1
130,197,28,1
131,201,28,1
132,202,28,1
133,203,28,1
134,205,28,1
135,208,28,1
136,209,28,1
137,210,28,1
138,212,28,1
139,213,28,1
140,214,28,1
141,215,28,1
142,218,28,1
143,221,28,3
144,222,28,1
145,223,28,1
146,224,28,2
147,225,28,1
148,226,28,1
149,228,28,1
150,233,28,1
151,234,28,1
152,235,28,3
153,236,28,1
154,239,28,1
155,241,28,1
156,243,28,1
157,246,28,1
158,247,28,1
159,248,28,1
160,250,28,1
161,251,28,1
162,254,28,6
163,255,28,1
164,256,28,1
165,257,28,1
166,259,28,1
167,261,28,1
168,263,28,1
169,264,28,1
170,265,28,1
171,266,28,1
172,267,28,1
173,269,28,1
174,270,28,1
175,271,28,1
176,272,28,1
177,273,28,1
178,277,28,1
179,278,28,2
180,279,28,1
181,280,28,1
182,282,28,1
183,287,28,5
184,288,28,1
185,289,28,1
186,290,28,1
187,291,28,1
188,293,28,1
189,295,28,1
190,296,28,1
191,297,28,9
192,300,28,1
193,301,28,2
194,302,28,1
195,304,28,1
196,305,28,1
197,306,28,1
198,307,28,1
199,308,28,1
200,310,28,1
201,311,28,2
202,312,28,1
203,317,28,1
204,319,28,1
205,320,28,2
206,321,28,1
207,322,28,1
208,323,28,1
209,324,28,1
210,326,28,1
211,330,28,1
212,333,28,1
213,334,28,1
214,335,28,1
215,337,28,2
216,340,28,1
217,341,28,1
218,342,28,1
219,343,28,1
220,344,28,1
221,345,28,1
222,346,28,1
223,347,28,1
224,348,28,1
225,349,28,1
226,350,28,1
227,352,28,1
228,355,28,2
229,358,28,1
230,359,28,2
231,360,28,2
232,361,28,1
233,364,28,1
234,366,28,1
235,370,28,2
236,373,28,1
237,376,28,1
238,377,28,1
239,379,28,1
240,381,28,1
241,382,28,2
242,385,28,1
243,387,28,1
244,389,28,1
245,393,28,1
246,394,28,1
247,395,28,1
248,396,28,1
249,400,28,1
250,403,28,1
251,404,28,1
252,408,28,1
253,410,28,4
254,412,28,1
255,413,28,1
256,0,30,9
257,1,30,7
258,2,30,9
259,3,30,9
260,4,30,9
261,5,30,7
262,6,30,7
263,7,30,7
264,8,30,7
265,9,30,7
266,10,30,7
267,11,30,7
268,12,30,7
269,13,30,7
270,14,30,10
271,15,30,21
272,16,30,22
273,17,30,24
274,18,30,7
275,19,30,9
276,20,30,8
277,21,30,7
278,22,30,7
279,23,30,30
280,24,30,63
281,25,30,7
282,26,30,7
283,27,30,7
284,28,30,7
285,29,30,16
286,30,30,7
287,31,30,7
288,32,30,15
289,33,30,7
290,34,30,7
291,35,30,7
292,36,30,13
293,37,30,7
294,38,30,8
295,39,30,7
296,40,30,7
297,41,30,8
298,42,30,7
299,43,30,6
300,44,30,14
301,45,30,7
302,46,30,11
303,47,30,7
304,48,30,20
305,49,30,7
306,50,30,8
307,51,30,7
308,52,30,7
309,53,30,10
310,54,30,8
311,55,30,10
312,56,30,7
313,57,30,8
314,58,30,8
315,59,30,11
316,60,30,7
317,61,30,7
318,62,30,7
319,63,30,7
320,64,30,61
321,65,30,9
322,66,30,9
323,67,30,9
324,68,30,91
325,69,30,7
326,70,30,7
327,71,30,7
328,72,30,7
329,73,30,7
330,74,30,24
331,75,30,7
332,76,30,18
333,77,30,8
334,78,30,7
335,79,30,7
336,80,30,16
337,81,30,7
338,82,30,7
339,83,30,7
340,84,30,7
341,85,30,15
342,86,30,30
343,87,30,7
344,88,30,7
345,89,30,7
346,90,30,9
347,91,30,7
348,92,30,8
349,93,30,7
350,94,30,7
351,95,30,7
352,96,30,7
353,97,30,7
354,98,30,7
355,99,30,7
356,100,30,7
357,101,30,7
358,102,30,7
359,103,30,7
360,104,30,7
361,105,30,7
362,106,30,15
363,107,30,10
364,108,30,7
365,109,30,7
366,110,30,7
367,111,30,9
368,112,30,34
369,113,30,7
370,114,30,7
371,115,30,7
372,116,30,7
373,117,30,7
374,118,30,7
375,119,30,143
376,120,30,10
377,121,30,7
378,122,30,23
379,123,30,7
380,124,30,7
381,125,30,14
382,126,30,7
383,127,30,7
384,128,30,26
385,129,30,7
386,130,30,7
387,131,30,7
388,132,30,11
389,133,30,9
390,134,30,9
391,135,30,7
392,136,30,7
393,137,30,7
394,138,30,9
395,139,30,22
396,140,30,18
397,141,30,7
398,142,30,7
399,143,30,7
400,144,30,7
401,145,30,7
402,146,30,7
403,147,30,13
404,148,30,17
405,149,30,7
406,150,30,7
407,151,30,16
408,152,30,7
409,153,30,7
410,154,30,7
411,155,30,24
412,156,30,8
413,157,30,7
414,158,30,7
415,159,30,7
416,160,30,143
417,161,30,7
418,162,30,13
419,163,30,12
420,164,30,7
421,165,30,7
422,166,30,341
423,167,30,7
424,168,30,12
425,169,30,7
426,170,30,23
427,171,30,9
428,172,30,7
429,173,30,15
430,174,30,7
431,175,30,7
432,176,30,7
433,177,30,7
434,178,30,7
435,179,30,9
436,180,30,7
437,181,30,8
438,182,30,7
439,183,30,7
440,184,30,8
441,185,30,7
442,186,30,7
443,187,30,7
444,188,30,18
445,189,30,16
446,190,30,7
447,191,30,41
448,192,30,7
449,193,30,7
450,194,30,9
451,195,30,7
452,196,30,7
453,197,30,7
454,198,30,13
455,199,30,15
456,200,30,94
457,201,30,9
458,202,30,14
459,203,30,7
460,204,30,7
461,205,30,7
462,206,30,8
463,207,30,23
464,208,30,7
465,209,30,7
466,210,30,15
467,211,30,8
468,212,30,7
469,213,30,7
470,214,30,7
471,215,30,8
472,216,30,7
473,217,30,7
474,218,30,7
475,219,30,7
476,220,30,7
477,221,30,12
478,222,30,7
479,223,30,12
480,224,30,7
