doc,word,cluster
0,30,6
0,31,1
0,235,1
0,265,1
0,274,1
0,292,2
0,294,3
0,298,1
0,311,1
0,313,1
0,316,1
0,317,2
0,321,1
0,330,1
0,395,4
0,406,1
0,543,1
0,546,1
0,562,1
0,565,1
0,566,5
0,568,9
0,572,1
0,587,1
0,591,3
0,601,2
0,615,1
0,621,2
0,643,2
0,651,1
0,666,1
0,671,3
0,702,1
0,708,3
0,738,1
0,744,1
0,745,1
0,754,12
0,785,1
0,884,1
0,978,1
0,1015,2
0,1055,1
0,1070,1
0,1091,2
0,1093,3
0,1127,2
0,1161,1
0,1341,2
0,1362,1
0,1397,1
0,1424,1
0,1459,3
0,1509,1
0,1606,2
0,1619,2
0,1641,1
0,1643,1
0,1647,2
0,1683,1
0,1685,1
0,1694,1
0,1705,1
0,1709,8
0,1738,1
0,1746,1
0,1772,1
0,1801,1
0,1878,1
0,1984,2
0,1994,2
0,2008,1
0,2055,1
0,2060,1
0,2077,1
0,2079,1
0,2083,1
0,2103,1
0,2149,4
0,2159,1
0,2166,1
0,2177,4
0,2182,4
0,2220,1
0,2223,1
0,2224,1
0,2254,1
0,2258,1
0,2262,1
0,2265,2
0,2342,1
0,2418,3
0,2420,1
0,2432,1
0,2437,1
0,2438,1
0,2443,1
0,2480,1
0,2494,1
0,2525,1
0,2533,3
0,2545,1
0,2561,1
0,2564,5
0,2585,2
0,2587,1
0,2635,1
0,2704,1
0,2743,1
0,2848,1
0,2866,2
0,2877,1
0,2879,1
0,2911,1
0,2913,1
0,2930,1
0,2956,1
0,2959,1
0,2966,1
0,2968,1
0,2987,1
0,3008,1
0,3048,2
0,3096,1
0,3217,1
0,3231,1
0,3241,2
0,3242,2
0,3247,1
0,3248,1
0,3253,1
0,3287,1
0,3325,1
0,3338,3
0,3348,1
0,3374,1
0,3391,1
0,3402,1
0,3403,1
0,3406,1
0,3430,1
0,3475,1
0,3527,1
0,3542,1
0,3608,2
0,3652,2
0,3675,1
0,3686,1
0,3721,1
0,3741,2
0,3764,1
0,3765,1
0,3781,1
0,3785,1
0,3801,1
0,4034,1
0,4051,3
0,4054,1
0,4055,1
0,4075,1
0,4207,1
0,4344,1
0,4355,1
0,4393,1
0,4421,1
0,4435,2
0,4502,1
0,4551,1
0,4748,1
0,4778,1
0,4913,2
0,4939,1
0,4946,1
0,4955,1
0,4964,1
0,4968,1
0,4969,1
0,5216,1
0,5225,1
0,5313,1
